iter	Passed	Remaining
719	8457	3288
720	8468	3277
721	8480	3265
722	8491	3253
723	8502	3241
724	8513	3229
725	8525	3217
726	8535	3205
727	8546	3193
728	8557	3181
729	8568	3169
730	8579	3157
731	8590	3145
732	8601	3133
733	8611	3120
734	8623	3109
735	8634	3097
736	8645	3085
737	8657	3073
738	8667	3061
739	8678	3049
740	8690	3037
741	8700	3025
742	8711	3013
743	8724	3001
744	8737	2990
745	8747	2978
746	8759	2966
747	8770	2954
748	8781	2942
749	8792	2930
750	8802	2918
751	8813	2906
752	8824	2894
753	8835	2882
754	8846	2870
755	8857	2858
756	8868	2846
757	8880	2835
758	8891	2823
759	8901	2810
760	8912	2799
761	8924	2787
762	8935	2775
763	8946	2763
764	8958	2751
765	8969	2740
766	8980	2727
767	8991	2716
768	9002	2704
769	9012	2692
770	9023	2680
771	9034	2668
772	9045	2656
773	9056	2644
774	9066	2632
775	9079	2620
776	9092	2609
777	9104	2597
778	9114	2585
779	9125	2573
780	9137	2562
781	9148	2550
782	9159	2538
783	9170	2526
784	9182	2514
785	9192	2502
786	9203	2490
787	9214	2479
788	9224	2466
789	9236	2455
790	9247	2443
791	9258	2431
792	9269	2419
793	9280	2407
794	9291	2395
795	9302	2384
796	9313	2372
797	9323	2360
798	9335	2348
799	9345	2336
800	9356	2324
801	9367	2312
802	9379	2300
803	9390	2289
804	9401	2277
805	9413	2265
806	9424	2253
807	9435	2242
808	9447	2230
809	9457	2218
810	9468	2206
811	9477	2194
812	9489	2182
813	9499	2170
814	9510	2158
815	9522	2147
816	9534	2135
817	9545	2123
818	9555	2111
819	9566	2099
820	9577	2088
821	9588	2076
822	9599	2064
823	9610	2052
824	9621	2040
825	9633	2029
826	9643	2017
827	9654	2005
828	9666	1993
829	9676	1982
830	9688	1970
831	9699	1958
832	9710	1946
833	9723	1935
834	9735	1923
835	9746	1911
836	9757	1900
837	9769	1888
838	9780	1876
839	9792	1865
840	9803	1853
841	9814	1841
842	9824	1829
843	9835	1817
844	9846	1806
845	9857	1794
846	9868	1782
847	9879	1770
848	9890	1759
849	9902	1747
850	9913	1735
851	9924	1723
852	9934	1712
853	9946	1700
854	9957	1688
855	9968	1676
856	9979	1665
857	9990	1653
858	10001	1641
859	10012	1629
860	10024	1618
861	10035	1606
862	10046	1594
863	10057	1583
864	10071	1571
865	10083	1560
866	10094	1548
867	10105	1536
868	10117	1525
869	10128	1513
870	10140	1501
871	10151	1490
872	10162	1478
873	10172	1466
874	10180	1454
875	10192	1442
876	10202	1430
877	10212	1419
878	10222	1407
879	10233	1395
880	10243	1383
881	10255	1372
882	10266	1360
883	10278	1348
884	10289	1337
885	10300	1325
886	10312	1313
887	10323	1302
888	10336	1290
889	10348	1279
890	10359	1267
891	10370	1255
892	10382	1244
893	10394	1232
894	10405	1220
895	10416	1209
896	10427	1197
897	10438	1185
898	10449	1173
899	10461	1162
900	10472	1150
901	10482	1138
902	10493	1127
903	10503	1115
904	10515	1103
905	10526	1092
906	10536	1080
907	10547	1068
908	10557	1056
909	10567	1045
910	10578	1033
911	10588	1021
912	10600	1010
913	10611	998
914	10621	986
915	10633	975
916	10644	963
917	10655	951
918	10665	940
919	10677	928
920	10688	916
921	10700	905
922	10712	893
923	10725	882
924	10736	870
925	10748	858
926	10758	847
927	10769	835
928	10780	823
929	10792	812
930	10804	800
931	10816	789
932	10827	777
933	10838	765
934	10849	754
935	10860	742
936	10872	730
937	10883	719
938	10893	707
939	10905	696
940	10915	684
941	10925	672
942	10937	661
943	10948	649
944	10960	637
945	10970	626
946	10982	614
947	10991	602
948	11003	591
949	11015	579
950	11026	568
951	11038	556
952	11049	544
953	11062	533
954	11074	521
955	11086	510
956	11097	498
957	11108	487
958	11119	475
959	11130	463
960	11141	452
961	11153	440
962	11164	428
963	11175	417
964	11183	405
965	11194	394
966	11205	382
967	11217	370
968	11229	359
969	11239	347
970	11250	336
971	11262	324
972	11273	312
973	11284	301
974	11296	289
975	11306	278
976	11317	266
977	11328	254
978	11341	243
979	11353	231
980	11364	220
981	11374	208
982	11385	196
983	11396	185
984	11408	173
985	11420	162
986	11431	150
987	11441	138
988	11453	127
989	11464	115
990	11476	104
991	11488	92
992	11500	81
993	11510	69
994	11522	57
995	11534	46
996	11545	34
997	11556	23
998	11567	11
999	11578	0
